T[C] Ux[V] Uy[V] f[Hz] SinVoltage[V] Current[A] Res[Ohm] T_A[C] T_B[C]
23.610816326530614 0.0001836483673469388 -4.998367346938776e-06 73.33 5.0 0.0047401081632653065 0.03874398755102041 0.0 0.0
24.615263157894738 0.00018362368421052632 -4.995263157894737e-06 73.32999999999998 5.0 0.004740147368421053 0.03873836210526316 0.0 0.0
25.615000000000002 0.00018354000000000002 -5.019285714285714e-06 73.33000000000001 5.0 0.004740207142857142 0.03872039428571428 0.0 0.0
26.6375 0.00018342666666666663 -4.965e-06 73.33000000000001 5.0 0.004740291666666666 0.038695220833333335 0.0 0.0
27.564444444444447 0.00018335333333333332 -5.1188888888888905e-06 73.33 5.0 0.004739677777777777 0.03868505888888889 0.0 0.0
28.528000000000002 0.000183362 -5.058e-06 73.33000000000001 5.0 0.00474035 0.038681265 0.0 0.0
29.625555555555554 0.00018328333333333333 -5.154444444444445e-06 73.33 5.0 0.004740088888888889 0.038666348888888896 0.0 0.0
30.60571428571429 0.0001832557142857143 -4.962857142857143e-06 73.33 5.0 0.004740314285714285 0.03865891428571429 0.0 0.0
31.57625 0.00018321875 -5.013750000000001e-06 73.33 5.0 0.0047401000000000006 0.03865280124999999 0.0 0.0
32.63857142857143 0.00018316285714285713 -5.0185714285714286e-06 73.33 5.0 0.004739814285714286 0.03864325857142857 0.0 0.0
33.64666666666666 0.00018304833333333335 -4.94e-06 73.33 5.0 0.00474065 0.038612155 0.0 0.0
34.59428571428571 0.00018312999999999996 -5.039999999999999e-06 73.33 5.0 0.0047404 0.03863125571428571 0.0 0.0
35.62333333333333 0.000182855 -4.973333333333334e-06 73.33 5.0 0.004740266666666667 0.038574421666666664 0.0 0.0
36.62 0.00018300499999999997 -4.955e-06 73.33 5.0 0.004739816666666666 0.03860955333333333 0.0 0.0
37.624 0.00018299600000000002 -4.961999999999999e-06 73.33 5.0 0.0047403 0.038603726 0.0 0.0
38.644285714285715 0.00018277142857142856 -5.048571428571428e-06 73.33 5.0 0.004739842857142858 0.03856037857142857 0.0 0.0
39.674 0.000182888 -5.097999999999999e-06 73.33 5.0 0.00474122 0.03857362 0.0 0.0
40.548 0.00018286399999999998 -4.95e-06 73.33 5.0 0.00474002 0.038578378 0.0 0.0
41.62 0.00018278999999999998 -5.014999999999999e-06 73.33 5.0 0.0047394666666666675 0.03856732666666667 0.0 0.0
42.6925 0.00018275 -5.0925e-06 73.33 5.0 0.004740925 0.0385470825 0.0 0.0
43.489999999999995 0.000182702 -4.770000000000001e-06 73.33 5.0 0.004740619999999999 0.038539522 0.0 0.0
