T_A[K] T_B[K] CNT sr860x[V] sr860y[V] sr860f[Hz] sr860sin[V] yyyy-mm-dd hh:mm:ss.ccccc
112.648333 112.005000 1 0.16106411 -0.00228413 33.3330 1.0000000000 2022-12-21 22:06:31.481030
112.641667 112.010000 2 0.16106821 -0.00228478 33.3330 1.0000000000 2022-12-21 22:06:33.335053
112.641667 112.020000 3 0.16108003 -0.00228499 33.3330 1.0000000000 2022-12-21 22:06:35.215904
112.635000 112.020000 4 0.16110913 -0.00228537 33.3330 1.0000000000 2022-12-21 22:06:37.077578
112.635000 112.033333 5 0.16111066 -0.00228536 33.3330 1.0000000000 2022-12-21 22:06:38.964790
112.633333 112.040000 6 0.16112137 -0.00228497 33.3330 1.0000000000 2022-12-21 22:06:40.836379
112.641667 112.050000 7 0.16111549 -0.00228649 33.3330 1.0000000000 2022-12-21 22:06:42.703832
112.645000 112.050000 8 0.16111134 -0.00228573 33.3330 1.0000000000 2022-12-21 22:06:44.576340
112.651667 112.058333 9 0.16108523 -0.00228522 33.3330 1.0000000000 2022-12-21 22:06:46.449024
112.655000 112.063333 10 0.16108174 -0.00228436 33.3330 1.0000000000 2022-12-21 22:06:48.326500
112.660000 112.060000 11 0.16106250 -0.00228370 33.3330 1.0000000000 2022-12-21 22:06:50.214393
112.656667 112.070000 12 0.16103661 -0.00228252 33.3330 1.0000000000 2022-12-21 22:06:52.097515
112.665000 112.086667 13 0.16100994 -0.00228142 33.3330 1.0000000000 2022-12-21 22:06:53.973586
112.663333 112.090000 14 0.16098244 -0.00227990 33.3330 1.0000000000 2022-12-21 22:06:55.838350
112.665000 112.100000 15 0.16095295 -0.00227804 33.3330 1.0000000000 2022-12-21 22:06:57.700502
112.668333 112.110000 16 0.16092819 -0.00227667 33.3330 1.0000000000 2022-12-21 22:06:59.590857
112.675000 112.110000 17 0.16089310 -0.00227519 33.3330 1.0000000000 2022-12-21 22:07:01.464425
112.680000 112.120000 18 0.16084987 -0.00227235 33.3330 1.0000000000 2022-12-21 22:07:03.336096
112.686667 112.128333 19 0.16080353 -0.00227078 33.3330 1.0000000000 2022-12-21 22:07:05.220428
112.690000 112.138333 20 0.16076284 -0.00226902 33.3330 1.0000000000 2022-12-21 22:07:07.119084
112.695000 112.140000 21 0.16072076 -0.00226772 33.3330 1.0000000000 2022-12-21 22:07:08.981193
112.698333 112.150000 22 0.16067760 -0.00226582 33.3330 1.0000000000 2022-12-21 22:07:10.861959
112.705000 112.160000 23 0.16063986 -0.00226324 33.3330 1.0000000000 2022-12-21 22:07:12.737291
112.705000 112.160000 24 0.16058052 -0.00226101 33.3330 1.0000000000 2022-12-21 22:07:14.600906
112.711667 112.160000 25 0.16052966 -0.00225861 33.3330 1.0000000000 2022-12-21 22:07:16.486393
112.715000 112.168333 26 0.16048288 -0.00225516 33.3330 1.0000000000 2022-12-21 22:07:18.376676
112.725000 112.176667 27 0.16042587 -0.00225343 33.3330 1.0000000000 2022-12-21 22:07:20.233544
112.728333 112.180000 28 0.16037120 -0.00225120 33.3330 1.0000000000 2022-12-21 22:07:22.097875
112.736667 112.190000 29 0.16032612 -0.00224833 33.3330 1.0000000000 2022-12-21 22:07:23.983694
112.743333 112.200000 30 0.16027436 -0.00224644 33.3330 1.0000000000 2022-12-21 22:07:25.831641
112.755000 112.201667 31 0.16023010 -0.00224422 33.3330 1.0000000000 2022-12-21 22:07:27.711443
112.763333 112.210000 32 0.16016904 -0.00224092 33.3330 1.0000000000 2022-12-21 22:07:29.619263
112.761667 112.218333 33 0.16010879 -0.00223773 33.3330 1.0000000000 2022-12-21 22:07:31.519551
112.771667 112.230000 34 0.16003536 -0.00223487 33.3330 1.0000000000 2022-12-21 22:07:33.476356
112.781667 112.230000 35 0.15996587 -0.00223114 33.3330 1.0000000000 2022-12-21 22:07:35.378461
112.796667 112.240000 36 0.15989223 -0.00222782 33.3330 1.0000000000 2022-12-21 22:07:37.262577
112.806667 112.250000 37 0.15981156 -0.00222485 33.3330 1.0000000000 2022-12-21 22:07:39.181752
112.810000 112.255000 38 0.15973666 -0.00222130 33.3330 1.0000000000 2022-12-21 22:07:41.083942
112.813333 112.260000 39 0.15966185 -0.00221726 33.3330 1.0000000000 2022-12-21 22:07:43.016702
112.818333 112.250000 40 0.15958633 -0.00221326 33.3330 1.0000000000 2022-12-21 22:07:44.904619
112.825000 112.260000 41 0.15951710 -0.00220964 33.3330 1.0000000000 2022-12-21 22:07:46.783775
112.833333 112.273333 42 0.15943700 -0.00220638 33.3330 1.0000000000 2022-12-21 22:07:48.638168
112.835000 112.280000 43 0.15937736 -0.00220348 33.3330 1.0000000000 2022-12-21 22:07:50.526148
112.846667 112.280000 44 0.15932286 -0.00220075 33.3330 1.0000000000 2022-12-21 22:07:52.396484
112.853333 112.296667 45 0.15925432 -0.00219888 33.3330 1.0000000000 2022-12-21 22:07:54.284912
112.860000 112.300000 46 0.15919105 -0.00219487 33.3330 1.0000000000 2022-12-21 22:07:56.187171
112.863333 112.300000 47 0.15912852 -0.00219231 33.3330 1.0000000000 2022-12-21 22:07:58.075128
112.863333 112.300000 48 0.15906183 -0.00219049 33.3330 1.0000000000 2022-12-21 22:07:59.942901
112.865000 112.310000 49 0.15901234 -0.00218657 33.3330 1.0000000000 2022-12-21 22:08:01.830438
112.865000 112.320000 50 0.15895973 -0.00218385 33.3330 1.0000000000 2022-12-21 22:08:03.721836
112.871667 112.330000 51 0.15891147 -0.00218174 33.3330 1.0000000000 2022-12-21 22:08:05.666868
112.886667 112.340000 52 0.15886141 -0.00217990 33.3330 1.0000000000 2022-12-21 22:08:07.558161
112.900000 112.346667 53 0.15879144 -0.00217632 33.3330 1.0000000000 2022-12-21 22:08:09.418792
112.910000 112.350000 54 0.15874212 -0.00217507 33.3330 1.0000000000 2022-12-21 22:08:11.301911
112.916667 112.360000 55 0.15867074 -0.00217127 33.3330 1.0000000000 2022-12-21 22:08:13.175161
112.920000 112.360000 56 0.15860017 -0.00216817 33.3330 1.0000000000 2022-12-21 22:08:15.045333
112.920000 112.366667 57 0.15852551 -0.00216492 33.3330 1.0000000000 2022-12-21 22:08:16.935410
112.920000 112.370000 58 0.15845923 -0.00216155 33.3330 1.0000000000 2022-12-21 22:08:18.805171
112.926667 112.380000 59 0.15839276 -0.00215858 33.3330 1.0000000000 2022-12-21 22:08:20.707657
112.930000 112.385000 60 0.15832533 -0.00215551 33.3330 1.0000000000 2022-12-21 22:08:22.563190
112.943333 112.400000 61 0.15827579 -0.00215363 33.3330 1.0000000000 2022-12-21 22:08:24.434070
112.951667 112.400000 62 0.15822556 -0.00215026 33.3330 1.0000000000 2022-12-21 22:08:26.303815
112.955000 112.400000 63 0.15816288 -0.00214772 33.3330 1.0000000000 2022-12-21 22:08:28.179212
112.960000 112.410000 64 0.15810523 -0.00214540 33.3330 1.0000000000 2022-12-21 22:08:30.063722
112.965000 112.410000 65 0.15805942 -0.00214359 33.3330 1.0000000000 2022-12-21 22:08:31.960381
112.965000 112.423333 66 0.15801543 -0.00214118 33.3330 1.0000000000 2022-12-21 22:08:33.831788
112.968333 112.430000 67 0.15797586 -0.00214000 33.3330 1.0000000000 2022-12-21 22:08:35.711168
112.971667 112.436667 68 0.15792613 -0.00213744 33.3330 1.0000000000 2022-12-21 22:08:37.566531
